ETA,ETD,Object,Operator,Service,Inbound id,Outbound id,Call reference number,Modality
za 01-03-2025 21:30,di 04-03-2025 19:00,HMM Hamburg,HMM,THE ALLIANCE FE4,HOHA0015W,HOHA0015E,NLRTM25001817,DEEPSEA
zo 02-03-2025 19:30,ma 03-03-2025 19:30,APL Vanda,CMA,OCEAN ALL NEU4,0FLR9W1MA,0FLRAE1MA,NLRTM25000207,DEEPSEA
ma 03-03-2025 12:00,di 04-03-2025 12:30,CMA CGM Cayenne,CMA,CMA NEFGUI,0RTK1S1MA,0RTK1S1MA,NLRTM24028397,DEEPSEA
ma 03-03-2025 15:00,ma 03-03-2025 18:30,X-Press Godavari,XCL,XCL FEEDER,25010S,25010S,NLRTM25004337,FEEDER
ma 03-03-2025 19:30,di 04-03-2025 02:30,X-Press Elbe,XCL,XCL FEEDER,25010N,25010N,NLRTM25004353,FEEDER
ma 03-03-2025 23:00,wo 05-03-2025 06:00,APL Barcelona,CMA,CMA EPIC,0PEBAE1MA,0PEBAE1MA,NLRTM25000199,DEEPSEA
di 04-03-2025 07:00,di 04-03-2025 11:00,Elisabeth,UFE,UFE FEEDER,677435,677435,NLRTM25004428,FEEDER
di 04-03-2025 13:30,di 04-03-2025 21:00,Essence,ONE,ONE FEEDER,026N,026N,NLRTM25003485,FEEDER
di 04-03-2025 20:28,di 04-03-2025 23:58,Spirit,UFE,UFE FEEDER,676858,676858,NLRTM25004435,FEEDER
di 04-03-2025 20:30,wo 05-03-2025 19:00,Marielyst,ONE,ONE FEEDER,028N,028S,NLRTM25003474,FEEDER
di 04-03-2025 22:00,wo 05-03-2025 06:00,EA Gannet,XCL,XCL FEEDER,25009S,25009S,NLRTM25004023,FEEDER
wo 05-03-2025 01:00,wo 05-03-2025 19:05,Ballata,ONE,ONE FEEDER,007S,008N,NLRTM25004665,FEEDER
wo 05-03-2025 09:00,do 06-03-2025 13:00,APL Minnesota,CMA,OCEAN ALL TAT3,0VBJ7W1MA,0VBJ7W1MA,NLRTM25000225,DEEPSEA
wo 05-03-2025 09:00,do 06-03-2025 13:00,Brussels,OOL,OCEAN ALL TAT3,037W,037W,NLRTM25003231,DEEPSEA
wo 05-03-2025 15:00,do 06-03-2025 04:30,Faith,EUC,EUC FEEDER,1250811,2250813,,FEEDER
wo 05-03-2025 22:00,za 08-03-2025 09:00,ONE Future,ONE,THE ALLIANCE FE3,003W,003E,NLRTM25004177,DEEPSEA
do 06-03-2025 14:30,vr 07-03-2025 12:30,X-Press Agility,ONE,ONE FEEDER,021N,022N,NLRTM25004827,FEEDER
do 06-03-2025 14:30,vr 07-03-2025 15:30,Langeness,ONE,ONE FEEDER,019S,020N,,FEEDER
do 06-03-2025 15:00,vr 07-03-2025 00:00,CT Rotterdam,EUC,EUC FEEDER,1250906,2251001,,FEEDER
